96,RandomHusPlayer,260549558,1,260549558,68,game00096.log,
97,260549558,RandomHusPlayer,0,260549558,45,game00097.log,
98,RandomHusPlayer,260549558,1,260549558,68,game00098.log,
99,260549558,RandomHusPlayer,0,260549558,45,game00099.log,
100,RandomHusPlayer,260549558,1,260549558,68,game00100.log,
101,260549558,RandomHusPlayer,0,260549558,39,game00101.log,
102,RandomHusPlayer,260549558,1,260549558,28,game00102.log,
103,260549558,RandomHusPlayer,1,RandomHusPlayer,19,game00103.log,
104,RandomHusPlayer,260549558,1,260549558,28,game00104.log,
105,260549558,RandomHusPlayer,0,260549558,33,game00105.log,
106,RandomHusPlayer,260549558,1,260549558,28,game00106.log,
107,260549558,RandomHusPlayer,0,260549558,39,game00107.log,
108,RandomHusPlayer,260549558,1,260549558,28,game00108.log,
109,260549558,RandomHusPlayer,0,260549558,41,game00109.log,
110,RandomHusPlayer,260549558,1,260549558,28,game00110.log,
111,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00111.log,
112,RandomHusPlayer,260549558,1,260549558,30,game00112.log,
113,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00113.log,
114,RandomHusPlayer,260549558,1,260549558,30,game00114.log,
115,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00115.log,
116,RandomHusPlayer,260549558,1,260549558,30,game00116.log,
117,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00117.log,
118,RandomHusPlayer,260549558,1,260549558,30,game00118.log,
119,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00119.log,
120,RandomHusPlayer,260549558,1,260549558,30,game00120.log,
121,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00121.log,
122,RandomHusPlayer,260549558,1,260549558,30,game00122.log,
123,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00123.log,
124,RandomHusPlayer,260549558,1,260549558,30,game00124.log,
125,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00125.log,
126,RandomHusPlayer,260549558,1,260549558,30,game00126.log,
127,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00127.log,
128,RandomHusPlayer,260549558,1,260549558,30,game00128.log,
129,260549558,RandomHusPlayer,1,RandomHusPlayer,84,game00129.log,
130,RandomHusPlayer,260549558,1,260549558,30,game00130.log,
131,260549558,RandomHusPlayer,0,260549558,13,game00131.log,
132,RandomHusPlayer,260549558,1,260549558,9,game00132.log,
133,260549558,RandomHusPlayer,0,260549558,13,game00133.log,
134,RandomHusPlayer,260549558,1,260549558,9,game00134.log,
135,260549558,RandomHusPlayer,0,260549558,13,game00135.log,
136,RandomHusPlayer,260549558,1,260549558,9,game00136.log,
137,260549558,RandomHusPlayer,0,260549558,13,game00137.log,
138,RandomHusPlayer,260549558,1,260549558,9,game00138.log,
139,260549558,RandomHusPlayer,0,260549558,13,game00139.log,
140,RandomHusPlayer,260549558,1,260549558,9,game00140.log,
141,260549558,RandomHusPlayer,0,260549558,13,game00141.log,
142,260549558,RandomHusPlayer,0,260549558,13,game00142.log,
143,260549558,RandomHusPlayer,0,260549558,13,game00143.log,
144,RandomHusPlayer,260549558,1,260549558,9,game00144.log,
145,260549558,RandomHusPlayer,0,260549558,13,game00145.log,
146,RandomHusPlayer,260549558,1,260549558,9,game00146.log,
147,260549558,RandomHusPlayer,0,260549558,13,game00147.log,
148,RandomHusPlayer,260549558,1,260549558,9,game00148.log,
149,260549558,RandomHusPlayer,0,260549558,13,game00149.log,
150,RandomHusPlayer,260549558,1,260549558,9,game00150.log,
151,260549558,RandomHusPlayer,0,260549558,13,game00151.log,
152,RandomHusPlayer,260549558,1,260549558,9,game00152.log,
153,260549558,RandomHusPlayer,0,260549558,13,game00153.log,
154,RandomHusPlayer,260549558,1,260549558,9,game00154.log,
155,260549558,RandomHusPlayer,0,260549558,13,game00155.log,
156,RandomHusPlayer,260549558,1,260549558,9,game00156.log,
157,260549558,RandomHusPlayer,0,260549558,13,game00157.log,
158,RandomHusPlayer,260549558,1,260549558,9,game00158.log,
159,260549558,RandomHusPlayer,0,260549558,13,game00159.log,
160,RandomHusPlayer,260549558,1,260549558,9,game00160.log,
161,260549558,RandomHusPlayer,1,RandomHusPlayer,33,game00161.log,
162,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00162.log,
163,260549558,RandomHusPlayer,1,RandomHusPlayer,33,game00163.log,
164,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00164.log,
165,260549558,RandomHusPlayer,1,RandomHusPlayer,33,game00165.log,
166,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00166.log,
167,260549558,RandomHusPlayer,1,RandomHusPlayer,33,game00167.log,
168,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00168.log,
169,260549558,RandomHusPlayer,1,RandomHusPlayer,33,game00169.log,
170,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00170.log,
171,260549558,RandomHusPlayer,0,260549558,27,game00171.log,
172,RandomHusPlayer,260549558,1,260549558,44,game00172.log,
173,260549558,RandomHusPlayer,0,260549558,27,game00173.log,
174,RandomHusPlayer,260549558,1,260549558,44,game00174.log,
175,260549558,RandomHusPlayer,0,260549558,27,game00175.log,
