# Server version 0.08 running on 192.168.0.35:8489
# Game ID: 11600
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 00:31:46 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 18
PIT 1 20
PIT 0 16
PIT 1 18
PIT 0 5
PIT 1 8
PIT 0 19
PIT 1 14
PIT 0 21
PIT 1 12
PIT 0 25
PIT 1 21
PIT 0 15
PIT 1 0
PIT 0 18
PIT 1 28
PIT 0 23
PIT 1 31
PIT 0 22
PIT 1 2
PIT 0 28
PIT 1 9
PIT 0 21
PIT 1 3
PIT 0 17
PIT 1 6
PIT 0 8
PIT 1 4
PIT 0 28
PIT 1 0
PIT 0 24
PIT 1 12
PIT 0 3
PIT 1 7
PIT 0 30
PIT 1 13
PIT 0 18
PIT 1 11
PIT 0 21
PIT 1 14
PIT 0 29
PIT 1 9
PIT 0 22
PIT 1 13
PIT 0 26
GAMEOVER WINNER 0
# Game ended: Thu Apr 07 00:32:21 EDT 2016
